location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 118551664, 20110924, 57B7414B20B2852AF8F33FAF8E9F256B, 5.0, 4.5, niknik632, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 118294210, 20110918, 6121C41772DF2C1B83FED4957B66D7AE, 5.0, 4.5, erfayed, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 118060912, 20110913, 3E2BE61AC6AD304B54D291ABE5172C17, 5.0, 4.5, Flyer802982, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 118046283, 20110912, 5C672493E626F89AAA510E21F2700975, 5.0, 4.5, Suzelat, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 118046280, 20110912, A4BE7F964FA7EA201D06D377C8E64D23, 5.0, 4.5, TedyV, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 117661146, 20110904, 7E597D0192834EEC1C68ABF7F53ED0E7, 5.0, 4.5, lgrier1, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 117653332, 20110904, 567184BC170DE0459DCDCF2E909198B7, 5.0, 4.5, chrispmorgan, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 117259413, 20110825, EC128CD21299ECBFFCC5F4CAA8FAD8EB, 5.0, 4.5, Zoe1995, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 117066610, 20110822, 28EDE0D41DCF45FD807F761DC4727461, 5.0, 4.5, Klankers, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
Tiergarten Schoenbrunn - Zoo Vienna, Outdoor Activities & Zoos & Aquariums & Nature & Parks, #lat#, #lng#, 117029961, 20110821, 743A3A0612DB4D5A8D863418194FF533, 1.0, 4.5, bluecrush_m, /Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html
