location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 693524917, 20190728, 35C6D2972A32CB68D5DC0B27927CF758, 5.0, 3.0, RobertBerger66, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 682361204, 20190618, EEDD915E69B5E654B6DF5FADD7F4722F, 4.0, 3.0, VodkaQueenNL, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 679157049, 20190605, 89E1D723A75ED746524DCD2897CFEE34, 3.0, 3.0, marygrace58, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 665996889, 20190413, A22AF1AFDB43AF4182FD058237B11F30, 5.0, 3.0, angelvilchez, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 644403990, 20190107, DEA05B038FC09C6E0146654629449112, 5.0, 3.0, 481batata, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 643598550, 20190104, 72604506D8077AB1D445BF80AF97EE0D, 2.0, 3.0, selkielikesit, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 642850283, 20190101, A06076E120135CF7B5C29BBE90DCBC25, 1.0, 3.0, khaledfb, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 642264015, 20181229, 956CC2164FE75784DCC2B8B1CC382DD0, 4.0, 3.0, CardonFamilyInsights, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 640526841, 20181219, 916270CCD68EA09B875C7259DC48721E, 1.0, 3.0, 335helmutp, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
Mozart Haus, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 639461741, 20181213, A4DE171FD0F7889CEB62A1F3073879AF, 4.0, 3.0, Rick J, /Attraction_Review-g190454-d15128349-Reviews-Mozart_Haus-Vienna.html
