location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 559422946, 20180209, D8AB730051ABB25CA9CA67434DF5BB1D, 4.0, 4.5, D5958EMdavid, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 559229244, 20180208, D3BB3B5EE80347AD114E309F40A15F65, 5.0, 4.5, dancurran, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 558247639, 20180204, DFBEA324B2F21CB25B84D5B755D3FC1E, 4.0, 4.5, achPlymouth, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 557787213, 20180201, 4357702E8E71E546C4633A772F86C812, 5.0, 4.5, QuentinRigby, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 557718936, 20180201, 2894602B58D09CF9602288F0FA19E10A, 4.0, 4.5, paul1837495, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 557551896, 20180131, F3E5679E5421A09C04C1173A8B46C258, 5.0, 4.5, Bethany J, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 556947312, 20180128, 6468C52963179B66B61EF242B8E5D349, 4.0, 4.5, nightmanager1, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 556853718, 20180128, 73DE49075059A6A1A905FA26EE4FAFE5, 5.0, 4.5, 186338AlanC, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 556261982, 20180125, AF60F93EB2D91078A4E3C363B67301F4, 4.0, 4.5, KarenC8998, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
Obergurgl  Hochgurgl Ski Area, Outdoor Activities & Nature & Parks & Ski & Snowboard Areas, #lat#, #lng#, 556233621, 20180124, FCDB561A307FE8311F615B30D704457E, 3.0, 4.5, Calin V, /Attraction_Review-g608674-d6034276-Reviews-Obergurgl_Hochgurgl_Ski_Area-Obergurgl_Tirol_Austrian_Alps.html
