location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 409214387, 20160823, E496B42158EB6D984F91E99EFD0E8F93, 5.0, 4.5, Besash, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 409111771, 20160822, DECC010DCFE86E1024D905CD3419EE76, 4.0, 4.5, Ania K, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 408994695, 20160822, 490F10B4F959F00009257DC2427B0A95, 5.0, 4.5, Gigwalker13, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 408795420, 20160822, AAD0063CE585E6BAED23B2D2ADD95A20, 5.0, 4.5, Kirk G, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 408599209, 20160822, 55A3AAAC4C1A6E7ED0DDE71CEE0150DB, 4.0, 4.5, Mia_hazas, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 407941764, 20160820, 4D578866E6560AF70ED88814CBD786F5, 5.0, 4.5, Sabina M, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 407803327, 20160820, 50AAC8B0421503EFDF14338E1F39D42F, 4.0, 4.5, Sheriff25, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 407575766, 20160819, D64193CA3764B748944ED0F9AF2344C9, 5.0, 4.5, Chooks64, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 407451672, 20160819, 41FC542F22D0C7620C215A2D564B304D, 4.0, 4.5, Angela R, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
Old Town, Sights & Landmarks & Neighborhoods & Historic Walking Areas & More, #lat#, #lng#, 406969363, 20160818, 9A5E0773851B091ED60133CECF50BC3B, 5.0, 4.5, 340annep, /Attraction_Review-g303833-d553696-Reviews-Old_Town-Rovinj_Istria.html
