location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 606940673, 20180816, 4C0C7053E276A6D7BCB3D7251B72DE11, 5.0, 4.5, Alina H, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 606914964, 20180815, A86361DB21DE4A2323C58C4D43D4E9B8, 5.0, 4.5, seema60, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 606584032, 20180814, 65252C40A9737EC1EC0F5699F8D49BCB, 5.0, 4.5, IndianInNYC, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 606365010, 20180814, FE9605110B51BD3990C68FFC7348616F, 5.0, 4.5, Thursday41, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 606263127, 20180814, 62794F3010DF6948FB61CA541E1DA5F2, 5.0, 4.5, O7419CZrebeccaf, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 606142875, 20180813, 531A779590FD33C39415D921C1A2445F, 5.0, 4.5, Nick1989Dhillon, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 605839287, 20180812, C8BE21B1CE6B0E82A7828B572A02B88F, 4.0, 4.5, SVKBizarre, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 605722888, 20180812, E7C34DB64D1C5623330EE68319A219AA, 3.0, 4.5, daryaPro, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 605711902, 20180812, 3A72EDF1BBB62AEE042A86AE4CCC7558, 5.0, 4.5, Dippa64, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
Palazzo di Diocleziano, Sights & Landmarks & Historic Walking Areas & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 605639130, 20180812, CD13D398455162F978F7895DA9202F66, 4.0, 4.5, louises869, /Attraction_Review-g295370-d317704-Reviews-Palazzo_di_Diocleziano-Split_Split_Dalmatia_County_Dalmatia.html
