location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 345780009, 20160208, 41EB0CF7A777654BF32D067DFFE1AC62, 5.0, 4.5, AdamoTravel, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 335706554, 20151229, 99F3CF762DAC74D48DDFB7036C9FB763, 5.0, 4.5, silp1310, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 322564623, 20151028, 3C012DA5F18A60AB7565B96FFAD127FD, 5.0, 4.5, efchutchy, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 318102946, 20151012, 298EDFA044A122A6BDD0C05C16516E6F, 5.0, 4.5, LisaNanci, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 318024997, 20151012, DECF763F226D1D51213B0892DCCCFC9E, 4.0, 4.5, MaiPoy, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 316039309, 20151004, AA7A625B83F3C09DC71B015E6677A661, 5.0, 4.5, MATJAŽ B, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 315437697, 20151001, 049A30B8649F84C782E663E8E05581A0, 5.0, 4.5, Andy M, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 302439005, 20150823, E3E9706B41632AABDF1C112697587535, 4.0, 4.5, Gregory S, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 299732966, 20150815, 02F9CAE1EB3E9E7FE6B9A1696157735E, 5.0, 4.5, Melissa U, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
Telascica Nature Park, Nature & Parks & Nature & Wildlife Areas & National Parks, #lat#, #lng#, 299095972, 20150814, F240784408D4EA3A76BD25A23E09A687, 5.0, 4.5, BrunoMBrussels, /Attraction_Review-g1190826-d553243-Reviews-Telascica_Nature_Park-Dugi_Island_Zadar_County_Dalmatia.html
