location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 437016999, 20161113, 22F207C77D63E7C93A9B4FD354784C6F, 3.0, 3.5, goodguyjas, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 436959188, 20161113, 758A1858A99122C3AF74DA1F263D8D57, 4.0, 3.5, aguiar_ma, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 436805374, 20161113, B0D5BAF695EBBE3918EA48684745049B, 2.0, 3.5, 318maximev, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 435071424, 20161106, 5078D6FB88290A227057B0FCE35C2A48, 4.0, 3.5, sharjahsuzy, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 434585721, 20161104, 16ED57835918E3F514166DAE782F2C9B, 4.0, 3.5, 325SamanthaG, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 434269859, 20161103, 375F03AB84735DE380F5509D23B94A6A, 4.0, 3.5, Anttimatti P, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 433360894, 20161031, C4FCA1F45A2DE128412E3E41452E4737, 4.0, 3.5, Gaetano A, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 432868737, 20161030, B8F6CE470DCC158696B8E79BC89F0567, 4.0, 3.5, Liztravelsandeats, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 432469071, 20161028, 86452CD45BD12727C6742C37B8A63DB4, 1.0, 3.5, 43ericb, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
Buda Hill Funicular, Transportation & Tramways, #lat#, #lng#, 431412575, 20161025, FB36BA3CC18761A14D22A82B199C4427, 4.0, 3.5, GanL, /Attraction_Review-g274887-d546225-Reviews-Buda_Hill_Funicular-Budapest_Central_Hungary.html
