location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 146218870, 20121126, E8E2DDBFDA1251AF0A3C09AD84000B15, 4.0, 4.5, D4VID70, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 146108024, 20121124, 3D5AFC7596CC4E8BBAAB1FC6CC726746, 5.0, 4.5, Marguerite1300, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 146081559, 20121124, 72583E664C54C710AD2D0225A6A188B4, 5.0, 4.5, VeraLantos, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 146055398, 20121123, 674E5F219C1598CB4D655AEE668EBF05, 4.0, 4.5, Esther N, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 145956268, 20121122, 13C7B601F95DCD0E78AA6EE506EBE447, 4.0, 4.5, Rob H, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 145930741, 20121121, 462C63E13FF574C6E2C369ED15DA4072, 3.0, 4.5, sharonr806, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 145905944, 20121121, 18DA36D12784FF60341679F7360476FE, 5.0, 4.5, Lynda924, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 145905463, 20121121, 057E4F328F107AC85C3973E2E484B84C, 5.0, 4.5, Ivan N, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 145867046, 20121120, 65B8133114EE6628A3A23E4C61AA5CAC, 5.0, 4.5, Nottingham_Engineer, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
Heroes' Square, Sights & Landmarks & Points of Interest & Landmarks & Monuments & Statues & Historic Sites & More, #lat#, #lng#, 145761843, 20121119, 41AC4A7F64D2FFCC854404028DC5911A, 5.0, 4.5, 309jacquic, /Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html
