location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 583345002, 20180528, FD8C48F13B403BCDA45CFCF717E8DEA6, 4.0, 4.0, X1105XOashleya, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 580434982, 20180515, FA331D61BA1E8520C959C8CA562ED38F, 4.0, 4.0, KLE2013, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 580078905, 20180514, 30994D2773A324632B3FC5CD9A11BA63, 4.0, 4.0, 157DavidM, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 573841774, 20180416, 29CD43BFFD2A03F2DA1028488B33893A, 4.0, 4.0, nickd18, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 567934940, 20180321, 53ED3A90BA299C1776AE1EEC91018B36, 5.0, 4.0, Gabriel H, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 566020545, 20180312, 74F77E08CB785EF554FF69EA4F127290, 5.0, 4.0, Shane-Sally M, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 563452976, 20180228, 25262EA20E42143F502892F4DFA9B378, 4.0, 4.0, Michael B, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 559082066, 20180207, 0CA50759FC6A1C3F3540640942017F34, 5.0, 4.0, karla_kolunda, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 557143452, 20180129, EA220E3CD4427C904068595AE319C176, 4.0, 4.0, Itinerant_Foodies, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
Inner-City Parish Church, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 540942252, 20171114, 157D98384F423792C0301E824C666785, 5.0, 4.0, Morella D, /Attraction_Review-g274887-d276810-Reviews-Inner_City_Parish_Church-Budapest_Central_Hungary.html
