location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 492144260, 20170611, A84EDC6EAEC1A52F08FDBED742D64EE1, 4.0, 4.5, MMBaird, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 492122800, 20170611, 3E304C7EC5D05610EA94EC5C716B7B38, 1.0, 4.5, jils2, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 491739577, 20170609, DCF8DCCD2967BF797DCC9453CD559518, 5.0, 4.5, wildcat4000, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 491714441, 20170609, BEB4878AB6BC812D4B52D25B609856E5, 5.0, 4.5, elisabedk, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 491592536, 20170608, 91D31D3CAB52433301957A1AD13D2A02, 5.0, 4.5, Nin4, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 491529682, 20170608, 057C48F384815E5C7A1785657013131C, 1.0, 4.5, Sue379, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 490981012, 20170606, BC1108B7825FACD8D1CF9E54E921FAC7, 4.0, 4.5, Peter W, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 490664358, 20170605, 85BE8E259515EB3766770F7561C192D9, 4.0, 4.5, Thomas G, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 490442159, 20170604, A4B73E20C6C794A251A4EBDB9F6C3CAA, 4.0, 4.5, Peter E, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
Margaret Island (Margitsziget), Nature & Parks & Islands, #lat#, #lng#, 490301580, 20170604, C955E46203BBA093A0698FEB87CBA05B, 2.0, 4.5, Marie H, /Attraction_Review-g274887-d276126-Reviews-Margaret_Island_Margitsziget-Budapest_Central_Hungary.html
