location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327922555, 20151119, 8113A6F2229277FE1061480E0E87FF51, 4.0, 4.5, ronaldf244, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327848441, 20151119, 1827BA508800BBB1CCD3A9C798FA6385, 5.0, 4.5, Alexandra K, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327653963, 20151118, 0EEDA1A6F41C8F0D8EED7520C55546AF, 4.0, 4.5, larac993, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327643627, 20151118, B328E6757CAF31053A80E77E5F53BD3A, 5.0, 4.5, LarryHN, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327590673, 20151118, C11F7B1B18B82866C6DA2BF3294522DC, 4.0, 4.5, Clay S, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327550224, 20151117, EE58615D38E23F9D5E5BC4BF8F718742, 4.0, 4.5, Philip L, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327542153, 20151117, 230AD8DD0C30F80F74CFC6CF023FED47, 4.0, 4.5, Keith G, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327465735, 20151117, AE2B8D9C8E7016D13DAF26043EB484D1, 5.0, 4.5, Patricia M, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327452598, 20151117, C0DC6BD6D021000A60B25C015CED2DF1, 3.0, 4.5, kikidam, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
Matthias Church, Sights & Landmarks & Historic Sites & Sacred & Religious Sites & Architectural Buildings & More, #lat#, #lng#, 327394069, 20151117, 0B84C332D98C8D86FD995E4595739FAA, 4.0, 4.5, Bonnie H, /Attraction_Review-g274887-d276808-Reviews-Matthias_Church-Budapest_Central_Hungary.html
