location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 141983485, 20121004, F802BD0B49E97AB68BE71A44F92087CB, 2.0, 4.0, bigrob1978, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 137147990, 20120814, F4B7E27D155A30A72D13A680E5481F9D, 4.0, 4.0, Andy_1956, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 136871477, 20120811, 6D177DB60F9E4DDE0FFB95EB3C3A494E, 3.0, 4.0, Agnes56, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 135250298, 20120724, 25AE1D2FB9159B01E789A298B4404CE8, 2.0, 4.0, Whiskey_Tango_01, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 134645077, 20120717, 6865A30E3174BBC60310A4BD46DBE3D3, 2.0, 4.0, Kay425, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 134131028, 20120711, 0AD5C8E941C8BD22E243196B16032033, 4.0, 4.0, jtois, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 129177064, 20120501, D4CC0D12F3F8853DEC8D5764B0E2A930, 4.0, 4.0, Paul S, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 128969201, 20120428, 10B488C59E7FB5CA1AF0D8447EB65DEF, 3.0, 4.0, Ulrik_30, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 126613813, 20120324, A935D63563A2E771074B67F54AD454C5, 5.0, 4.0, csakaz, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
Museum of Military History (Hadtorteneti Muzeum), Museums & Military Museums, #lat#, #lng#, 121853586, 20111218, BA7BEBBAA6A2BABDFA2D37EE42737232, 2.0, 4.0, Inquizz8tor, /Attraction_Review-g274887-d276802-Reviews-Museum_of_Military_History_Hadtorteneti_Muzeum-Budapest_Central_Hungary.html
