location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 281919903, 20150621, 0A2B5B6E3F085A4882F2AED9214DB110, 4.0, 4.0, PeterTML, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 281572128, 20150620, 02A6B7181B84001E49307FF3427BA830, 2.0, 4.0, Samtailor, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 281108951, 20150618, B75402D4070E347127BC2D3A19F1B7D2, 5.0, 4.0, DoctorIEB, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 281001511, 20150617, 5D27AF5BB444FA2D1A900AE987319AB3, 5.0, 4.0, jpretorius9, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 280852281, 20150617, B3B474451EB89F394502E55E290DDF2C, 5.0, 4.0, LEO L, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 280591036, 20150616, 28A7B236C973EFEB9780B3A77E2CC9EB, 3.0, 4.0, Stone S, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 280452032, 20150615, 25A0D1A56FE8D4D1B32E2EDE8EC76A9F, 1.0, 4.0, mogwaiman, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 279865315, 20150613, 8644016E12AA2A822FC33801B40851F6, 4.0, 4.0, KmlvnFin, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 279324328, 20150610, 9711A1DF455A7712715A6B82A9526645, 5.0, 4.0, William D, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
Vaci Street, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 278222052, 20150606, 1D05809BA7D38DE46903CD359D536E2D, 4.0, 4.0, swinsto, /Attraction_Review-g274887-d276823-Reviews-Vaci_Street-Budapest_Central_Hungary.html
