location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 418217212, 20160913, B35A82EEBE7D768EA85DA61671335B00, 5.0, 4.5, Kay765, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 418199952, 20160913, A04D0F85C4161399C17042C1B321644E, 5.0, 4.5, Emma W, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 418079512, 20160913, A9AE4EBE067762F13481FBA05F144949, 5.0, 4.5, Michel W, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 418014814, 20160913, 81BF518044A245B8D389BD8ADC52AD82, 5.0, 4.5, Diane C, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 417699010, 20160912, A6B01263501D60E426A9CE09A9F8377F, 5.0, 4.5, Grizzie2015, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 417389370, 20160912, 08AA666C2C5FA155A2C06E59EBF558BB, 5.0, 4.5, HappyJJ, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 417172981, 20160911, 4EA0677851F18687EEEC83EDB32C466C, 5.0, 4.5, lojack, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 416852715, 20160910, 694BB7CE0358E020E0293D7A3E908949, 5.0, 4.5, aspiring_traveller90, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 416603601, 20160909, B6C5E40F2DFC67FEBE83A387549E95AD, 5.0, 4.5, kirbyderb, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
Archaeological Park of Paestum, Sights & Landmarks & Ancient Ruins & Historic Walking Areas, #lat#, #lng#, 415339492, 20160906, BD43C4CE6BD606D28F081723E3B2A74B, 5.0, 4.5, Jackie G, /Attraction_Review-g194845-d524399-Reviews-Archaeological_Park_of_Paestum-Paestum_Capaccio_Paestum_Province_of_Salerno_Campan.html
