location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 516287090, 20170822, 7038A4452ACD0334C0C36C6CC430DA9B, 5.0, 4.0, Santiago S, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 507048691, 20170730, 4C85897A89A81022E412323921C61D5B, 5.0, 4.0, Stelvioman, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 504785267, 20170723, 045522B729645B38368D747A74853C3C, 2.0, 4.0, heidimariar2016, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 503111215, 20170718, 3F74F160A4F6723BB0724F195287A6DC, 5.0, 4.0, Ljstjernberg, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 498737824, 20170704, C7DD1F7EC75FFAC409AAEE1DA9D40AAC, 5.0, 4.0, 300terezak, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 478295485, 20170423, E8500F39672BE99E607C8D001E754C3B, 3.0, 4.0, F722OQmichaelg, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 424088651, 20161001, E7165D7730EB22A7CDD144A53CA26148, 5.0, 4.0, Diana T, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 419216413, 20160916, 41C407DE05EF15FFB8437F1BBB17657C, 3.0, 4.0, Da N, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 419189741, 20160916, 8A0A99E5A22FBF16621B1F48FE8B13B7, 3.0, 4.0, luby10, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
Baia di Sorgeto, Nature & Parks & Hot Springs & Geysers, #lat#, #lng#, 415485872, 20160906, 16DC74DDB0D5EFCF44E0805861A30ABB, 4.0, 4.0, Keltic_Kid, /Attraction_Review-g811247-d1182423-Reviews-Baia_di_Sorgeto-Panza_Isola_d_Ischia_Province_of_Naples_Campania.html
