location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119749721, 20111026, DE53ABA9DE10C0A8C6462DBEA4C70194, 5.0, 4.5, Scotpacker, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119719635, 20111025, 687BDC61F89ED09EEB3648E90457835D, 5.0, 4.5, Karen_and_R0n, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119615095, 20111023, 5C0C230559DE9E62E7DE9AFCB49F64A9, 5.0, 4.5, Lindsey A, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119568500, 20111021, B4C3CE5BBCD91E5279A307B79F1C9ACD, 4.0, 4.5, IBthere30062, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119548138, 20111021, 02511D80AB9A225474204BD0B17C9913, 3.0, 4.5, PingConcordNH, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119547656, 20111021, 0F68C699ACCE949A48518ACD4404077C, 5.0, 4.5, CALItraveler47, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119531997, 20111020, 5882D91A0322E42862B0B8A8C1B6D090, 4.0, 4.5, JoeandMary1, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119281474, 20111013, 8ADE9B8E65C930FFBEE6416834011111, 5.0, 4.5, LazyDays4Us, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119271459, 20111013, 25619EEB52DD5160C5E65B73C2879D1E, 5.0, 4.5, sunnyside316, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
Basilica of San Clemente, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 119193540, 20111011, B74DCB47DCD098727D9AB58A18A45771, 4.0, 4.5, TravelerOxford, /Attraction_Review-g187791-d198746-Reviews-Basilica_of_San_Clemente-Rome_Lazio.html
