location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 347338367, 20160213, 939C41B025F486CE555CC1BF410C532A, 5.0, 3.5, skelto93, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 346295017, 20160209, D49690E1AC3AE081B65D1AF14ADC1270, 3.0, 3.5, 50mamaj, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 346203744, 20160209, BDE811261FFA9127E14A4C6FB5B8A390, 5.0, 3.5, illoca, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 342620755, 20160125, 15ED109E30BDADCC97AE214B8C044A07, 4.0, 3.5, Tiziana G, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 335657883, 20151229, F7E8CF27B4584E1C16CF4EBDA9340C9C, 4.0, 3.5, davide c, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 332333469, 20151212, F60919D42ED2FD389D4459D36AE6D04F, 5.0, 3.5, MarinoV91, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 330748567, 20151204, 6467A4747D1C11F45CFBA30CB8667BB3, 4.0, 3.5, A4773GBfernandop, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 322177027, 20151026, 0D37306A29BCEE1CF8370E25BA67D2E7, 4.0, 3.5, RastimSp, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 320178503, 20151019, EF63838C8DEEB235C808EA7777229BF3, 5.0, 3.5, U1954TFfabiob, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
Blow up coffee, cocktail bar & Enoteca, Nightlife & Food & Drink & Shopping & Gift & Specialty Shops & Breweries & Bars & Clubs & Coffeehouses & Wine Bars & More, #lat#, #lng#, 319543604, 20151017, 942EF511AF67C27FF3F1688D91A3EE10, 5.0, 3.5, elisabettabungaro, /Attraction_Review-g1078146-d6717172-Reviews-Blow_up_coffee_cocktail_bar_Enoteca-Lainate_Province_of_Milan_Lombardy.html
