location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 237398544, 20141101, 8C78943185B2B62B4F202D87BC57DCAB, 5.0, 4.5, Michael C, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 225920540, 20140901, 3A9981D4B2628FDC364F1F8B40614C38, 5.0, 4.5, supersazz, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 219684619, 20140805, 31743E3475371342A27CB1F9164057BF, 2.0, 4.5, francesca187814, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 209885180, 20140611, A2EE1810086A2A32E275AE13EFBDF908, 5.0, 4.5, Julia_Vladislava, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 183275425, 20131102, 9A562C23B4D26D31D0AD30AECFC94F03, 5.0, 4.5, Longpocket, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 166141103, 20130703, 914C174A63810C4A30890B11A17E7F9C, 5.0, 4.5, Boovyontour, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 165240657, 20130625, EB67F2F65B953AE1A55F2F4F5E3A1428, 4.0, 4.5, FoodandWinelover3, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 158645254, 20130423, D91DE2BB5B8545E625CA453DFCE76DF5, 5.0, 4.5, Chicagodocjerry, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 155254062, 20130321, 5ACD58EF5D2E991E18009965CC70797C, 5.0, 4.5, LWL3333, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
Castle Tyrol South Tyrolean Museum of Culture and Provincial History, Sights & Landmarks & Museums & History Museums & Castles & More, #lat#, #lng#, 149109099, 20130107, DBBF9CB0F155D95FCC11B259AB66579A, 3.0, 4.5, micolm981, /Attraction_Review-g194933-d2535933-Reviews-Castle_Tyrol_South_Tyrolean_Museum_of_Culture_and_Provincial_History-Tirolo_Dorf_.html
