location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 625298956, 20181016, 99C9F43A15737EF6B17674ED69A7CF8E, 5.0, 4.5, NicDew1, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 624413525, 20181013, 6C7565D387AD174A7B4A726CFB469985, 5.0, 4.5, ella T, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 621664406, 20181002, DA182CA24AB6A14D19B5B7D92A395ADD, 5.0, 4.5, Carsten L, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 592276956, 20180701, A22F02C7F8ABE17A3DD9509049A36378, 4.0, 4.5, flaneur40, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 589261567, 20180620, 7AB7584C9B4FD8780B1A8EAC9F27B8F1, 5.0, 4.5, DrEffieP, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 539784466, 20171109, E474116A0FCA0759A3F7BD643FB94BC9, 5.0, 4.5, 505mariannep, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 538752303, 20171106, C4CB6C03D2914000FD845A2FE701E4CB, 5.0, 4.5, schellyrae, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 536614639, 20171028, 2A4844BEBB070771AE0531DD8C6D59DF, 5.0, 4.5, jollyjoshua, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 527666790, 20170926, 01F2689420E301349B407A889155A853, 5.0, 4.5, CarrotMiku, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
Craters Silvestri of Mount Etna, Nature & Parks & Geologic Formations, #lat#, #lng#, 516779034, 20170823, D3BEC697A8A81F507A5695B9BD87C98F, 4.0, 4.5, TeemanRacketman, /Attraction_Review-g660767-d4358762-Reviews-Craters_Silvestri_of_Mount_Etna-Nicolosi_Province_of_Catania_Sicily.html
