location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 296594430, 20150807, 7DBC11D6D646FB51DEDE77C9B31B3A4B, 5.0, 4.5, PascalleGroeneveld, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 294227938, 20150730, D79B6F4666929C2EDE4AFDDF791CC6CB, 3.0, 4.5, Telafrichi G, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 290126738, 20150718, 7E307A3B6BC6F660902C080F1395C9DA, 5.0, 4.5, Ero83, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 289832439, 20150717, 4289E59759746BD254C035BBA7B03A27, 5.0, 4.5, chiarac20142014, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 289585213, 20150716, CADD21ACF496444F3B815F32838639BB, 5.0, 4.5, fabio b, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 282876219, 20150625, EBE6AAFADC6517BCFADE013579428CB7, 5.0, 4.5, italiapiace, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 281640505, 20150620, D519B9FDD8ADA67FEEA639137881AE44, 5.0, 4.5, carmenmanica, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 280596506, 20150616, 4F6562FAFA05A394600394B92FEF5F5B, 3.0, 4.5, desmocinghy, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 228755259, 20140914, 444ACD5C8A2107480AF0DD30DD9DB27E, 4.0, 4.5, fabio p, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
Crazy Beach, Nature & Parks & Outdoor Activities & Beaches, #lat#, #lng#, 226864326, 20140904, 7C59F368BE47B54068B1E964BFF93884, 5.0, 4.5, robyotto75, /Attraction_Review-g1187204-d6851506-Reviews-Crazy_Beach-Marcelli_di_Numana_Province_of_Ancona_Marche.html
