location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 689158244, 20190713, 9BFF17841F0D71EF73FFD5AB87272746, 4.0, 4.0, RaktimRay, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 677031103, 20190528, 16F3ECD0AD98E272B3877021FE599675, 5.0, 4.0, Loreta1959, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 676464979, 20190525, 452B4C0F8AFA95016763DCB5DCAF4941, 5.0, 4.0, BagmanNZ, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 670093593, 20190429, 5F489118841D4543A6F6CC9940AA48F6, 3.0, 4.0, abroadwithashley, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 643534199, 20190104, 2B073E2A2B1420B3DCE3C4872D5EB763, 4.0, 4.0, thomasozbun, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 638925289, 20181211, E123E209B7057F2E7EE34CDEC43F3025, 4.0, 4.0, mallen70, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 637666483, 20181205, D39A92B73DB4BDEAA75CC39BFA6632D8, 3.0, 4.0, JanaZC, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 633813908, 20181116, A6B092252590A20559645BD510D7AD3D, 2.0, 4.0, 941pt, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 599931356, 20180726, 28CA33899D7BA62AEB744598C36689C0, 5.0, 4.0, inoble, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
Crypt of Santa Reparata, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 596782291, 20180716, FD689877C77E6046DAA90ACE853D8C63, 5.0, 4.0, SJW-Ely, /Attraction_Review-g187895-d5773179-Reviews-Crypt_of_Santa_Reparata-Florence_Tuscany.html
