location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 696415588, 20190806, 0E3A02D7FC373153A1FF6FBAE63BD257, 5.0, 4.5, Angelo L, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 622944017, 20181007, B288DF2C8FB3B7866BD38F1598D610CF, 5.0, 4.5, scapo74, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 614649327, 20180907, FFE6A980BA9AFF268C2388F9F13F00C6, 5.0, 4.5, Manni M, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 526742280, 20170923, 99F84C052CBE5062641A4D639BDDF711, 4.0, 4.5, Claudio M, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 501090912, 20170711, 55D3818AA40ABB94C62464CF13B10379, 5.0, 4.5, Zi0Bobby, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 458759976, 20170211, EAC9F02D49A3AF1A4E4E39978D663F1A, 4.0, 4.5, pincop745, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 427490051, 20161012, B7A2E1371B88646FB33FDAB6A3C0280D, 5.0, 4.5, lor07565, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 396527651, 20160725, 236430CFBFB8B90064CF84C23DEA0AE1, 4.0, 4.5, 281alessios, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 386372161, 20160627, 2ADB8F8136E11F092CF6E212A59A905C, 5.0, 4.5, claudettecambier, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
Distilleria Rossi d’Angera, Food & Drink & Distilleries, #lat#, #lng#, 359308931, 20160328, 4DB657FF452EE1E6281691AC2A509514, 5.0, 4.5, Giovanni Emilio A, /Attraction_Review-g664200-d6589666-Reviews-Distilleria_Rossi_d_Angera-Angera_Lake_Maggiore_Lombardy.html
