location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 538452719, 20171105, DD7F5F7A2EA41EE85EC4EEA7D5C128CF, 5.0, 4.0, 627dianna, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 494458221, 20170620, C9432A41471F1DC17D140776268671B4, 5.0, 4.0, Moriston, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 485291177, 20170518, DCC857079E4E66A3EF6D7FFAD9B602E4, 4.0, 4.0, Thomas M, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 484373426, 20170515, 6405014F14FCE5658A60666D99AEC532, 3.0, 4.0, HerTriness, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 481816079, 20170505, B33F2E474F3D6E046D84EF85BC862A83, 4.0, 4.0, anah152, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 476183408, 20170416, 12AC956ED9D7D65E4E6C6A167CB7127C, 4.0, 4.0, Malcolmle, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 459762892, 20170214, 718D8BA3326C734A281D68BE256CED9E, 4.0, 4.0, StuNorman, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 433404860, 20161031, 55A709DA70D2C2C2601DC94809115E28, 4.0, 4.0, Kevin P, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 432949353, 20161030, 6081987D27FDFC4F9B02856269F192A2, 3.0, 4.0, 497stephanj, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
Duomo Di Pavia, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 420747853, 20160921, C2E1811F5C95EE2C1312D3A90CA3A081, 4.0, 4.0, usax001, /Attraction_Review-g187850-d6918288-Reviews-Duomo_Di_Pavia-Pavia_Province_of_Pavia_Lombardy.html
