location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150591504, 20130125, DD784092EAAD2DA38CA431A5ADB35788, 5.0, 4.5, Cocha-Bepeck, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150576466, 20130125, DCFAA8F2913F05C3BA9A840A52ADD4EF, 5.0, 4.5, danturner82, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150519929, 20130124, 8BCB308C79193D88696C0A82255C3B0D, 5.0, 4.5, wccard, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150475566, 20130124, B0A1F84A09BB46C2EAA528D9D8D50EEA, 5.0, 4.5, MissDetox, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150413505, 20130123, 43CF97AF11A005D6A7881A6BACCFF775, 4.0, 4.5, Jessica M, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150408822, 20130123, 88EC46B04BAE8AF8A84AEE84BE140244, 5.0, 4.5, vash17, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150378154, 20130123, F0C73183475AA99FE742587C8BF7AA9C, 5.0, 4.5, Heather C, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150328957, 20130123, 899E5FB46D193B142FB687A5B5D925F1, 5.0, 4.5, Marina D, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150283997, 20130122, 5B55653807864F70490573FD8F8FB187, 5.0, 4.5, Katia Z, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
Duomo di Milano, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 150257647, 20130122, 17C296025D13880C2F8361A54988E2EA, 5.0, 4.5, sarahtattersall89, /Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html
