location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 367804394, 20160426, 180C4FD041309B074661EBA896AF1717, 3.0, 4.0, RJB20, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 367643860, 20160425, 2613E57A4FD0507FF21F4E8A661B75C5, 3.0, 4.0, Daryl C, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 364570580, 20160416, 59457A887966B4DC9E7A1073F51406A2, 5.0, 4.0, 219lisc, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 362303045, 20160407, C893E916DFB71423E8B89E3E988AD650, 4.0, 4.0, MartinHussingtree, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 360338218, 20160331, 2B7BA950D2F725AC232CF9312652F654, 2.0, 4.0, Michelle B, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 353178958, 20160305, B70C165A7AFCF57E8394D43FE33126EE, 4.0, 4.0, MagdalenaSpa, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 348283038, 20160216, E3039239CD22AC9A121F0468152B2224, 5.0, 4.0, Warner L, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 341391243, 20160120, 946412A36208B6F5C535EB86E2190B8A, 5.0, 4.0, dsanti54, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 335315164, 20151227, CF00A3606495AD94DC8B81B847580A12, 3.0, 4.0, DelMarYogie, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
Fortezza di Montalcino, Sights & Landmarks & Points of Interest & Landmarks & Observation Decks & Towers & Castles & More, #lat#, #lng#, 335291730, 20151227, 203BDCEE7B08EE354B7164345F6B9BF4, 4.0, 4.0, need2know101, /Attraction_Review-g635634-d7032583-Reviews-Fortezza_di_Montalcino-Montalcino_Tuscany.html
