location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 418078576, 20160913, 279DAAA9D5DDB96C7970335926647D3B, 5.0, 4.5, r0gerthealien3, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 417827639, 20160913, 83CAD82649175BDCF72F512F3770DD29, 4.0, 4.5, Giannis A, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 417355254, 20160912, 813185269A8A9B158B04C9AEC5F5F0D1, 5.0, 4.5, Doreen C, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 416725827, 20160910, AC4E0CA1773B8862383F7079F101AA57, 4.0, 4.5, Lyssie80, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 415788775, 20160907, 007694DEA5FC8B87E7173F5D624A7C48, 5.0, 4.5, Cecilia C, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 412780956, 20160830, 7FD9326312AC5F9C7F473EB5DCAD1FC5, 5.0, 4.5, mikeccarlos, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 411380400, 20160827, EFE3641F929D9603E2B87E6C1D8D85B9, 4.0, 4.5, Keith L, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 410739281, 20160825, 69E5178141222019CDDC818EAD39E722, 5.0, 4.5, melihe1907, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 410164109, 20160824, 6AAF207129869EABE55912521550206A, 4.0, 4.5, Tracy B, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
Fountain of Neptune, Sights & Landmarks & Fountains, #lat#, #lng#, 409913744, 20160824, 3CA02807917B2D505368659EBF6FF61D, 4.0, 4.5, RakeshB569, /Attraction_Review-g187895-d2578762-Reviews-Fountain_of_Neptune-Florence_Tuscany.html
