location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 491688117, 20170609, 25B8EEF78980A546E6C35F921790123B, 3.0, 3.0, Yeahnahdunn O, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 489955857, 20170602, 1D556D8087536E1AE920EB38B7E12478, 4.0, 3.0, LiviuOradea_Romania, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 489498837, 20170531, DD8A774D9C88295AEBCE1E4D26F35C76, 3.0, 3.0, colleenh52, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 488979787, 20170530, FCE6458CC6AC1B4486CB19B8CB41224A, 5.0, 3.0, DYK2012, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 488756491, 20170529, C7841CBA8FF3599E63511CECCAAC851D, 1.0, 3.0, Rodrigo P, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 488388538, 20170528, 5DBFC4A161A9D806D8CD7566A4B75B8A, 4.0, 3.0, 414sairab, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 488345772, 20170527, D8F0133A07B5757F8E269299F937E725, 3.0, 3.0, bebestremmler, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 488325380, 20170527, 294300706824CB4655ECBC1D0F92D793, 5.0, 3.0, GCreviewer, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 486136759, 20170521, 6E635BCF2C0CE62509A4CE5FA79B52A5, 3.0, 3.0, Webster585, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
Grotta dello Smeraldo (Emerald Grotto), Nature & Parks & Caverns & Caves, #lat#, #lng#, 485913007, 20170520, 58A99A1F90EECDBA7AEDCA81B276E328, 3.0, 3.0, Uli3403, /Attraction_Review-g194863-d669726-Reviews-Grotta_dello_Smeraldo_Emerald_Grotto-Positano_Amalfi_Coast_Province_of_Salerno_Cam.html
