location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 431334099, 20161024, 92D1EFBD8E909197DDF69C958B1B33C5, 5.0, 3.0, maximilian88, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 430893024, 20161023, 116AB47A9F5C22E31A515C03742648E2, 4.0, 3.0, claudia s, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 424435129, 20161002, D2C8F764C62C7D239370B563B3714677, 4.0, 3.0, Flavia C, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 415742155, 20160907, 97BBE181D83B550E412C4D1ADFC95B9C, 3.0, 3.0, Maria Nives A, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 411524535, 20160827, 9B24BB3A3138BFC1C538868CEB23C93B, 2.0, 3.0, danielav777, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 410655395, 20160825, 8C51B593E457ECE0382ADAC91DBB0A40, 1.0, 3.0, xdedex, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 407757243, 20160820, 0E5CD9CA9259154E734C2470412C3B04, 4.0, 3.0, RiccardoLibra, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 405802670, 20160815, 98AFD96FC7E06D805E690B8BE2278022, 4.0, 3.0, 19ANDREA86, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 403731242, 20160810, B495237234C0E5306EA48287F3144685, 5.0, 3.0, ladysquat, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
Hotel Terme di Sardara Centro Benessere, Spas & Wellness, #lat#, #lng#, 403685725, 20160810, FC57007833CCA7757FF1CC0A08788058, 5.0, 3.0, Balente75, /Attraction_Review-g608924-d6681607-Reviews-Hotel_Terme_di_Sardara_Centro_Benessere-Sardara_Province_of_Medio_Campidano_Sardi.html
