location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 303163884, 20150825, 5B1973A73B4660DDF1B1AAD986C7433A, 3.0, 4.5, WaterEnthusiasts, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 302497103, 20150823, 48C10206BEBCA9D54726396CCEC5A262, 4.0, 4.5, wigglywormSS, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 298657082, 20150813, FC7D646B1B2C925DB64FD436F4981FB0, 4.0, 4.5, big-blue-eyes, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 297466760, 20150810, A56B3633134C14A0AE4B7A66A631869A, 5.0, 4.5, Simone C, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 292528069, 20150726, 82C8969989653C02A6F1E55DD951E071, 5.0, 4.5, PietroSano, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 289619330, 20150716, FC0484C970AB8A4FC80A8A58A774D081, 5.0, 4.5, ckhwa, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 288845093, 20150714, 869AED63DB0E5C4EC41BDA0D441F15B1, 1.0, 4.5, 2015alba, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 287615762, 20150710, 5916EF3090F1EB65462A751C3555579E, 4.0, 4.5, R9438OCmichaelg, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 287593378, 20150710, 17DF18C08F18627B02F63392B700674A, 5.0, 4.5, bebbles, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
I Giardini di Cataldo, Food & Drink & Nature & Parks & Wineries & Vineyards & Gardens & More, #lat#, #lng#, 286383249, 20150707, 9F5ACF3CE420B1624ED8DC7A4A22927E, 5.0, 4.5, Traceyjanet, /Attraction_Review-g187782-d2368262-Reviews-I_Giardini_di_Cataldo-Sorrento_Province_of_Naples_Campania.html
