location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382920421, 20160615, 18341EC06792170697AC7E6E6FCE002C, 4.0, 4.5, SueK739, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382780610, 20160615, E3A2879CC22A5211A769889F3C374D01, 5.0, 4.5, Juzynha, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382581203, 20160614, 705C0165F6AC584DD0E5771AC9959481, 5.0, 4.5, YaShaK, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382559209, 20160614, 60BDA1ED591E1B9F259A26059473B029, 5.0, 4.5, 647LauraB647, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382471279, 20160614, DCCD2969CDBCF102FD2519AF82989303, 5.0, 4.5, dova77, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382471199, 20160614, DECAB021D629484044BC7F9CA662D591, 5.0, 4.5, dawn s, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382445148, 20160614, ACCBB9D86E63F92E3FDF7FA751FA2BEC, 5.0, 4.5, Robby W, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382443908, 20160614, 0C1325BD28B6FA4A669B7A6364A5197C, 5.0, 4.5, Kuba K, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382393319, 20160614, 82B330A147C98ACE7388F25AEC966974, 5.0, 4.5, rkade, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
Monumento a Vittorio Emanuele II, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 382389722, 20160614, 0AD725970BEC360E344196858FA871B1, 4.0, 4.5, Tony K, /Attraction_Review-g187791-d190985-Reviews-Monumento_a_Vittorio_Emanuele_II-Rome_Lazio.html
