location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 699686585, 20190816, BC063505BD31C3AB9AB7EFB8D836A099, 5.0, 5.0, Gabor D, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 697951110, 20190811, A0A332679F921FDBC427A0FFDD974234, 5.0, 5.0, ruedrop, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 639956845, 20181216, E9FF666B03888B4D43EC1C3C1264A192, 5.0, 5.0, thomsonmary201, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 621703278, 20181003, 61309485361D103B555F4331382E32F1, 4.0, 5.0, jtachatt, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 550145852, 20171230, A7081C719D8EE798E2D752EC5E3D0E81, 1.0, 5.0, Anuradha H, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 542956258, 20171124, 642BB978A02BDBA676818F9C81F168FD, 5.0, 5.0, greg7233, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 501245168, 20170712, E7FEEA0C8E7A9F48022382858AF60EC9, 5.0, 5.0, ItsATouristTrap, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 488131579, 20170527, 63D1D71169BFADD6EE9E96F36EBA2808, 5.0, 5.0, rachel8973, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 424994556, 20161004, A4795A33934B8F23121BD963DF196D8F, 5.0, 5.0, PRFluffy, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
Museo per la Memoria di Ustica, Museums & Specialty Museums, #lat#, #lng#, 340490427, 20160116, 9B84E9376C801B3AB9EF751CF9DF8227, 5.0, 5.0, dandiebrandy, /Attraction_Review-g187801-d2259042-Reviews-Museo_per_la_Memoria_di_Ustica-Bologna_Province_of_Bologna_Emilia_Romagna.html
