location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 517728974, 20170826, 845FB2470011FDDDE0DB0AB8C1401DA8, 3.0, 4.0, isablubelle, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 515856851, 20170821, EE1CA7D17C01A6D5AC21BFF36D62E2E0, 5.0, 4.0, Jedialex65, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 515071155, 20170818, 22D3D8CB01FC221F736445494B08411A, 3.0, 4.0, 500kerryr, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 514184272, 20170817, 1F467B54EFB371D982A6AA53867AE2BB, 5.0, 4.0, Harika S, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 511223223, 20170811, 595CAEB6775FBF1D3A9B4568C6DA7575, 3.0, 4.0, Joky80, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 510444857, 20170809, 6211B4614752DED8F5BCCBF977A91EAC, 5.0, 4.0, Michael B, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 507321351, 20170731, 0983A9B1245D85BEE668AD6994F84EAB, 1.0, 4.0, jianc96, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 505737284, 20170726, 40E812DC565381B77B4C405BFB7172FA, 5.0, 4.0, Luka A, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 504536257, 20170722, ED815D047390002A1D6F1CD75E6CA711, 5.0, 4.0, VladArtemov, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
Noventa di Piave Designer Outlet - McArthurGlen, Shopping & Factory Outlets, #lat#, #lng#, 502614867, 20170716, 5BE136E7A36BE1512C922F181335E78E, 5.0, 4.0, RomanaD88, /Attraction_Review-g659611-d2720319-Reviews-Noventa_di_Piave_Designer_Outlet_McArthurGlen-Noventa_di_Piave_Veneto.html
