location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 667182771, 20190417, 81018011317CB3CAD9B257C3D6DAF652, 5.0, 4.5, von-W-04, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 667047704, 20190416, 5059FF34BE852E522585827097BE06A5, 4.0, 4.5, AnalieseD, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666955445, 20190416, A6988388867CB9CE47E76F4B54DEFF65, 5.0, 4.5, samyoung855, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666823067, 20190415, 1EA9CC56C51D3A22E8540AB0472FF08A, 4.0, 4.5, ashishsahai65, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666802567, 20190415, A00F65F4524F1EAB2F9D6E220A861921, 5.0, 4.5, 267jonathanj, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666748793, 20190415, 63F0BD359BA6197E87668B0A0607D0E1, 5.0, 4.5, Ian H, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666733085, 20190415, 66C3EB1A6AFA1ABA87FC647CF736CCEA, 4.0, 4.5, ElSueno3000, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666726316, 20190415, 6F33609F6D4E140893AA25B2E46B5757, 5.0, 4.5, susanhN9686KG, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666693732, 20190415, F7EDFB70C04A55A4EAA9230806272479, 5.0, 4.5, Mkieber59, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
Palatine Hill, Sights & Landmarks & Historic Sites & Ancient Ruins, #lat#, #lng#, 666638396, 20190415, 408AE971DD6DC63F4CA216A85F9ECF80, 5.0, 4.5, Slick_Barber72, /Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html
