location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 703626063, 20190827, BAA5F9E6E73CC069A73BEF2212A68E28, 5.0, 4.5, giovanni c, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 576430845, 20180429, E6180DE3632805CF8183464872880041, 4.0, 4.5, mox79, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 560239741, 20180213, D95A23027C980388A1708BBC836365E4, 4.0, 4.5, Laura V, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 550370301, 20171231, FBE12689578B26C38F4AA7D12871D1D2, 5.0, 4.5, lellov1958, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 520402464, 20170902, F89238A8B5B961B456A367FC799C1225, 5.0, 4.5, Angela C, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 471729912, 20170331, B2616702851ED185D7176C2D18DA4111, 4.0, 4.5, scandoniano, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 448451606, 20170102, E0ED70B4C4B4DFB5332DCCB1A317371C, 3.0, 4.5, giuseppe g, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 425128067, 20161004, 4262C95DEB2DA606061E8B5C7ABDBC70, 4.0, 4.5, Tine M, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 422836147, 20160927, 24B9F229DF2BE3759DBDBEF990773FA5, 4.0, 4.5, Dorian C, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
Palazzo Fanzago, Sights & Landmarks & Architectural Buildings, #lat#, #lng#, 413030086, 20160831, 8C5E37DFA213BE2188F3783CB80E77F9, 5.0, 4.5, maryfrancis85, /Attraction_Review-g776159-d9559313-Reviews-Palazzo_Fanzago-Pescocostanzo_Province_of_L_Aquila_Abruzzo.html
