location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Parco del Benessere, Nature & Parks, #lat#, #lng#, 634716027, 20181120, 741BDC7D71F5BECCED77FA6EF379EEFB, 1.0, 3.5, rosannas499, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 586137322, 20180609, 752D5CE5C5443C3DAE0F22CAEECDDE45, 4.0, 3.5, celestianamicogmaila, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 542042351, 20171119, 54B07A17C8A651A57DE43E7F177C8D61, 2.0, 3.5, AngeloBar68, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 495707238, 20170624, 91BB8F59B655A9A1117854F450BD4D2E, 4.0, 3.5, Letizia D, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 443034535, 20161209, 94B96B864B4C73A9CD764C196ED524F8, 4.0, 3.5, DavCosta, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 440539887, 20161127, 6B938921DAFB7915F4189EF1E8D588EF, 5.0, 3.5, massimodecimo d, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 417781732, 20160912, F44BD22B502D96DDD7B295A8681C81F0, 5.0, 3.5, enzosmo, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 404275742, 20160811, C6BECF9D99FD62504DDE8C93163140F7, 4.0, 3.5, GiovanniF2348, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 403546557, 20160810, 9CA5309AC35C96D4CD34C29DE5FD28B2, 1.0, 3.5, Mario d, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
Parco del Benessere, Nature & Parks, #lat#, #lng#, 347459758, 20160213, D2B0CEAAB9C09C90AEDB46DD65411F0E, 5.0, 3.5, 81Gigabyte, /Attraction_Review-g2140535-d7052922-Reviews-Parco_del_Benessere-Monte_Di_Procida_Province_of_Naples_Campania.html
