location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 430057945, 20161020, 746DF6919FDE2E6B9ECAB8426CA1E764, 5.0, 4.5, Hightor55, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 430057886, 20161020, 9FA613C2A7F2D2F1A7CA450D19C6BA24, 4.0, 4.5, AlexisDorn, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 430056285, 20161020, F06591EE39997BD8618CB0EB3E82C739, 5.0, 4.5, Judith W, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 430047993, 20161020, 60ED60262E551A25029C6858284D34DB, 5.0, 4.5, Annabelle J, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 430036945, 20161020, CC76EB12E03BB2D578E8A77110923FAB, 5.0, 4.5, delidog, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 430018540, 20161020, ED2D44A4624CBBDDE9704022093B5313, 4.0, 4.5, Julienne P, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 430011393, 20161020, 277DFC51455EB2E0D3A8F65A5C34B585, 5.0, 4.5, KarenEwan, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 429988023, 20161020, FF6FE0FF8BB0CF4CD1187F81F612AA0D, 5.0, 4.5, Liltrave, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 429955844, 20161020, B78F9629704780D8BBBE11E9C4012B30, 4.0, 4.5, gaminwoman, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
Piazza San Marco, Sights & Landmarks & Points of Interest & Landmarks & Historic Walking Areas, #lat#, #lng#, 429935329, 20161020, 1A00CBA2EE7435B38A3A1A29123581FB, 5.0, 4.5, David S, /Attraction_Review-g187870-d191175-Reviews-Piazza_San_Marco-Venice_Veneto.html
