location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373434010, 20160516, 6AA34493430FFFBBCAF785A690A0A9A0, 4.0, 4.5, Smrties, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373330649, 20160516, B965AF99C59329187437A59AFB204538, 5.0, 4.5, NattyMaxCecy, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373307316, 20160516, BBB81271F91E33FC466C98D1A8A420AA, 4.0, 4.5, LMC102, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373260559, 20160515, D02A2B1DF6140E49AF7293AD5A89FE42, 5.0, 4.5, john s, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373198038, 20160515, 80D965923183FD5300851D0648E3DE87, 4.0, 4.5, DivineDivaTravels, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373178670, 20160515, 978D4FAF47C23E9A90BB338F0C04B605, 4.0, 4.5, ClaireF1985, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373178250, 20160515, 4DD06ADFCECB1CC71FEFEC5582A0C280, 4.0, 4.5, vacationdeprived35, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373162811, 20160515, D118D67BF6285F9FD9E0C6B8388044ED, 2.0, 4.5, Explorergte, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373160998, 20160515, A7E7C121475FE2D3B157B2236EAFB3DA, 5.0, 4.5, Chocky1948, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
Pompeii - Archaeological Area., Sights & Landmarks & Points of Interest & Landmarks & Historic Sites & Ancient Ruins & More, #lat#, #lng#, 373148221, 20160515, EC7A1D029228E3890395C91712B5E2D6, 5.0, 4.5, Gary B, /Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Area-Pompeii_Province_of_Naples_Campania.html
