location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 454511991, 20170124, 12A04C9FEF7A80713E79AB7C71B3CF32, 4.0, 4.5, 48colinh, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 452938820, 20170117, 608C4DCBDA3547A55817FD68C3950626, 4.0, 4.5, mariedesjardins, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 452570072, 20170117, 3CF705654B9FBA9D1A50D086A19AB87A, 5.0, 4.5, carmen u, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 451275705, 20170111, C23BA4F3B6D331EDE872C8BC27949C94, 5.0, 4.5, TravelReviewer1983, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 450084092, 20170107, 2790A5E07F5CC4F759E0B2D61034D9E7, 5.0, 4.5, George19802013, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 448716902, 20170102, 6A64435CAED679072DF1F1274EAC72FC, 5.0, 4.5, Della G, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 448353462, 20170101, 710CBE4920C29570A89F068227F0B437, 3.0, 4.5, FairReview1309, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 448031883, 20161231, 0D0A96D71AFCB97D90E0865183BF9DBB, 4.0, 4.5, mfromtransylvania, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 446575413, 20161225, E9AEB936CE1FF2463141870103B2D3EF, 4.0, 4.5, DanielAraya, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
Ponte Sant'Angelo, Sights & Landmarks & Bridges, #lat#, #lng#, 446552154, 20161225, FD137378046E1E44E0FE2F3FE65DA671, 4.0, 4.5, 73JohnL, /Attraction_Review-g187791-d1758023-Reviews-Ponte_Sant_Angelo-Rome_Lazio.html
