location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 547963208, 20171218, E9F7972A21C8F2663A7B2B0DFF96877F, 5.0, 4.5, fabiotrav, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 543583837, 20171127, CB75E66C05CDC2F95C22ADC9226125B5, 4.0, 4.5, alessandra_biondi3, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 533064632, 20171015, 73D3CC1312FA68A5E041F365AA9B5E71, 4.0, 4.5, sampei6975, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 526019068, 20170920, F3244FDEB1A553D0932D1D05A753389E, 3.0, 4.5, Dottor_Uto, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 521821346, 20170906, C030DA73CCDF767C5BA0681B35F8EAB6, 3.0, 4.5, Mirco_comastri, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 519757095, 20170831, C0B247256C733F65CDF5E661A57D438E, 3.0, 4.5, terre74, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 489791048, 20170602, 2BCE74A446E8D7B4678D4B57F19BE23C, 3.0, 4.5, paolo d, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 475475073, 20170414, BFDED9AAC23B9F500555E5E4739B5631, 4.0, 4.5, Johann123456, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 456876634, 20170203, 3B83473D72C50DAF841D0A85C8ADF05D, 5.0, 4.5, martemy01, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
Rathaus - Palazzo del Municipio, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 449888732, 20170106, 9A71C659791995392168CC1CC3AFFF8C, 4.0, 4.5, Giacomo G, /Attraction_Review-g940891-d7305643-Reviews-Rathaus_Palazzo_del_Municipio-Vipiteno_Province_of_South_Tyrol_Trentino_Alto_Adig.html
