location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 709483135, 20190913, F9A214971C2D3DC73B77C209021D5054, 5.0, 4.5, DebbiSteve, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 679627866, 20190606, 781508352BAEEE407C64BC25C71D52AA, 5.0, 4.5, walk46, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 664154107, 20190406, E869A35A9F2E77CB97894C903B56A079, 5.0, 4.5, haktus, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 660710229, 20190324, 07708478944EF3C17A0B109F188E66C4, 5.0, 4.5, George A, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 584421516, 20180601, D0970B7D9BEF7B27A022DE3C96BE1E9E, 4.0, 4.5, MNtravels657, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 577926986, 20180504, CE3AD9264531554AD0C2A3F91B06B017, 5.0, 4.5, Sulami79, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 570314934, 20180401, 781508352BAEEE407C64BC25C71D52AA, 5.0, 4.5, walk46, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 505975942, 20170726, 417CE5D06F84CCF7F7031324D662B667, 5.0, 4.5, resawolfis, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 484673414, 20170516, 6F5DA51348B9CDFB5BD897A3ADD4E7A7, 4.0, 4.5, kathimacc, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
Santuario di Nostra Signora di Montenero, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 426192855, 20161008, 75FC3CD5986D9466FAF4AA5010D49F2D, 4.0, 4.5, gypsymk, /Attraction_Review-g187821-d10366106-Reviews-Santuario_di_Nostra_Signora_di_Montenero-Riomaggiore_Cinque_Terre_Italian_Rivier.html
