location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 709719567, 20190914, 9586063E564583262DCAC181CE027261, 4.0, 4.0, gianpaolo g, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 695194670, 20190803, C787390DAE9F786536701F8889AC4033, 4.0, 4.0, SopranoAngelico, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 690808435, 20190719, 80BCB7A9E7208D4B5AD4434BA8248BEB, 5.0, 4.0, Alex c, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 677507487, 20190529, 268C7FEE99EEB49E82D0A0760EE29B56, 4.0, 4.0, Renato V, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 622024723, 20181003, 028ADB12D906E1CC28E74D57786492E3, 5.0, 4.0, serafinoc712, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 620604932, 20180929, FF96F25961AD6147F50ED979E7BC4088, 4.0, 4.0, 755massimob, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 614703019, 20180907, 34502EF02872D2532734663564015AD5, 4.0, 4.0, Chiara O, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 610761213, 20180827, D7A6E61CC91CDFA9604D5D1B9A0168CF, 4.0, 4.0, 285pasqualep, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 598887013, 20180723, C990E50CC157454B86BF19D8FE789F4E, 4.0, 4.0, 988raffaellag, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
Santuario di Santa Maria di Monte Penice, Sights & Landmarks & Churches & Cathedrals & Sacred & Religious Sites, #lat#, #lng#, 588257088, 20180618, CA3F8E59F7560902C532564C18F6A72A, 5.0, 4.0, edopassarella, /Attraction_Review-g1175108-d2536685-Reviews-Santuario_di_Santa_Maria_di_Monte_Penice-Bobbio_Province_of_Piacenza_Emilia_Roma.html
