location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 319199787, 20151015, EE570A99C23657E4C24B109AE98FE1F3, 4.0, 4.5, seafare74, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 311404877, 20150917, DB4FF585DADC451BF98EE7C2D471930A, 5.0, 4.5, Kevin D, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 302446663, 20150823, 672AAED3A1CEEBB494F01F1E31828E28, 5.0, 4.5, Janet G, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 300326940, 20150817, 8EB74849CE8B3FF70CA4E5E65DD6CF7B, 3.0, 4.5, cdude2015, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 286240411, 20150706, 403B5CE986C8E87939DCF289290E8095, 5.0, 4.5, Grover R, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 285597501, 20150704, EA2686A2FC116835CF5ADC36BE17EB79, 5.0, 4.5, Fabíola C, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 277925316, 20150604, F4219AE073140994794C202912794F06, 5.0, 4.5, RonL40, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 263907335, 20150406, 5E6F9373E4C6F9C88FD2A684E2F3CD03, 5.0, 4.5, ameyajoshi, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 249800136, 20150117, 9990FE7B849C53DC75CF378EA03DF8BB, 3.0, 4.5, mjch18, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
Temple of Jupiter, Sights & Landmarks & Ancient Ruins, #lat#, #lng#, 240001935, 20141115, 2205CFEE811D49EDAEC7B8C08ED0F1A0, 5.0, 4.5, eross16, /Attraction_Review-g187786-d669211-Reviews-Temple_of_Jupiter-Pompeii_Province_of_Naples_Campania.html
