location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 301520449, 20150820, 23D90A44DA26B44E887BF672B3C46AE5, 4.0, 4.0, TripawdMomma, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 300020495, 20150816, 379237E24685EA9CF41F05F4ACDE522F, 4.0, 4.0, Piotr S, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 283359466, 20150627, DE9D41AA13B867A1CAF58C388AABCD50, 4.0, 4.0, Kimberly W, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 276027452, 20150531, 137513A4461B88BA5AFE5CBDD7C79B38, 4.0, 4.0, Bookistan5, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 240992584, 20141122, 71CB55459710B885F5F090F206A7CDA3, 2.0, 4.0, happy_mother_2009, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 235373558, 20141020, A8380D7386EC5129F4F3BE20031EC3BD, 4.0, 4.0, MissBeee, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 234350123, 20141014, 403C2BB1AAED0FBFAB4342EB0F0CCF10, 3.0, 4.0, LiseHPettersen, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 231323045, 20140928, 590BDD32630A4B12961710D60CBAC2D3, 3.0, 4.0, DFD1303, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 208715551, 20140603, 768B127BB151A47B5CDABA77A426D0FE, 4.0, 4.0, chrisalice1048, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
The Soave Castle, Sights & Landmarks & Castles, #lat#, #lng#, 201696302, 20140418, F0949861E709BC07E2F2600FF2A64424, 2.0, 4.0, KV1234, /Attraction_Review-g608943-d2209695-Reviews-The_Soave_Castle-Soave_Province_of_Verona_Veneto.html
