location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 274128005, 20150524, 2E61FBC043E912D2D3958A77F194B90F, 5.0, 4.0, Rohit G, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 268164136, 20150426, 135D866BD9E49C511D84D4057467DB8A, 2.0, 4.0, ricebowlgirl, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 242706854, 20141203, 5E6A5120068299863CCE524E759AE1BD, 4.0, 4.0, Kirstybas123, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 242642691, 20141202, BD0620B72D35453F86C334ED258E5885, 4.0, 4.0, calfencer, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 232058107, 20141001, C0B397A7BC7FE0B45D9C811E7662063B, 4.0, 4.0, angelaymlau, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 221691454, 20140813, D70E40551610EE723290F9AFB47A93ED, 3.0, 4.0, Dru62, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 220896185, 20140810, 9B7FB2598355D6410237A65C78221BBE, 3.0, 4.0, Rose O, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 213562576, 20140703, 1B6555B4DA5226A314305397D936B5AB, 3.0, 4.0, RonnieHaham, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 205033261, 20140511, ED17230F0E52A37E3E9610916429B822, 4.0, 4.0, Helen B, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
Valmontone Outlet, Shopping & Factory Outlets, #lat#, #lng#, 188430628, 20131224, A0C324F84138E592AF4B1405A6F54585, 2.0, 4.0, SanDiegoGuy1, /Attraction_Review-g1925778-d4419181-Reviews-Valmontone_Outlet-Valmontone_Province_of_Rome_Lazio.html
