location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 521170372, 20170904, AF12664DF417521D022E5D8E9ABDF7AE, 5.0, 4.5, melissa25rn, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 520278909, 20170901, DBCD4F48AFBB42C39E9C7A2292D6098B, 5.0, 4.5, Julie M, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 518170622, 20170827, 1B3AAC781FD73E74564CDDA596BF0902, 5.0, 4.5, travelinbandman, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 517885865, 20170826, 72B0059AE8E59763F0E49E7D388F0BB0, 3.0, 4.5, Glen E, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 517217460, 20170824, 4148CD0D450E06F99CB300FC2298AC13, 5.0, 4.5, zauberin, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 514723301, 20170818, 0E93309C91D33D70531920BBC2589205, 4.0, 4.5, ArrivingSoon, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 512133185, 20170813, 06A4E50AAB1634086BE652219B2F1640, 5.0, 4.5, Nappen, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 508862334, 20170804, 37A723C8CF638B1595256DDEBD560AF4, 4.0, 4.5, gofamtravel, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 508566088, 20170803, 4F2429ED9162397BDC920329568AD8A6, 5.0, 4.5, KJS716, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
Vatican Necropolis, Sights & Landmarks & Points of Interest & Landmarks & Sacred & Religious Sites & Cemeteries & More, #lat#, #lng#, 507595146, 20170731, BED965403FB356FAD81CD22F9083C5B9, 5.0, 4.5, Diane B, /Attraction_Review-g187793-d195269-Reviews-Vatican_Necropolis-Vatican_City_Lazio.html
